"Country","ISO_TER1","Forest_ha","Protected_forest_ha","Deforested_ha","Protected_deforested_ha","perc_restorable","perc_restorable_TNC","perc_restorable_Gold","Unprotected_forest_ha","Unprotected_deforested_ha","Unprotected_restorable_ha","Protected_restorable_ha","Protected_forest_prop","Protected_deforested_prop","Growth_rate_GMW","total_rate_10_16","erosion_rate_10_16","ewe_rate_10_16","commodities_rate_10_16","npc_rate_10_16","settle_rate_10_16","zscore_growth","zscore_loss"
"East Timor","TLS",988.712215567276,555.232860803363,43.8279187779009,8.52205747365365,0.627906977,0.627906977,0.703485273706795,433.479354763913,35.3058613042472,22.1687966419312,5.35105934610212,0.561571761793999,0.194443580970372,0.00129690753392159,-0.000549337126874965,-0.000136633135584395,-3.22307353725121e-05,-0.000326343205290011,-3.19116376137777e-05,-2.16290494944948e-05,-0.269468395476981,-0.0397231814538191
"Ecuador","ECU",138919.288309221,74534.140441544,12295.9048504717,2504.43119494993,0.775067750677507,0.872423625,0.775067750677507,64385.1478676774,9791.47365552177,7589.05546200332,1941.10385299642,0.536528378086979,0.203680105320094,0.00177429125100952,-7.75193812424586e-05,-3.01421418105109e-05,-1.07641120200261e-06,-3.98318452114072e-05,-6.45857149396351e-06,0,-0.236733686905895,0.584707843198662
"Egypt","EGY",98.7965588467568,48.0401897324674,11.180876917816,2.95539068231732,0.555555556,0.555555556,0.825745033112583,50.7563691142894,8.22548623549868,4.56971457893282,1.64188371371202,0.486253674148535,0.264325482163934,0.00677515039966806,-0.000133316991764026,-2.43143360390071e-05,-1.96004499507839e-05,-6.07769728684839e-06,-8.93619626974849e-05,0,0.106180536970393,0.510862042709674
"El Salvador","SLV",37496.3417065551,28677.9126291207,2402.07625641053,1471.94550850746,0.931034482758621,0.947959787,0.931034482758621,8818.4290774344,930.13074790307,865.983799771824,1370.43202516212,0.764818948300421,0.612780507937336,0.00402308079741381,-0.000228596052887224,-1.34381509177032e-05,0,-1.34381509177032e-05,-0.000201686120372681,0,-0.0825317989816587,0.384764195997005
"Equatorial Guinea","GNQ",25709.5234744792,20525.7253664015,673.786573138777,621.822013758308,0.949570815,0.949570815,1.04166666666667,5183.7981080777,51.964559380469,49.3440290020279,590.464036389418,0.798370509930943,0.922876825612009,0.000785506907806721,-5.08766042800274e-05,0,0,0,-5.08766042800274e-05,0,-0.304535679633758,0.619968442597983
"Eritrea","ERI",7029.21296124491,0,307.963463263126,0,0.439655172,0.439655172,0.833333333333333,7029.21296124491,307.963463263126,135.397729410665,0,0,0,0.00256137181313703,-1.98519048137435e-05,0,-1.98519048137435e-05,0,0,0,-0.182762736701775,0.661028332897989
"Fiji","FJI",51167.8285561504,16909.6561520714,803.715966536272,181.64059574819,0.74080452458256,0.913657771,0.74080452458256,34258.172404079,622.075370788082,460.836249311185,134.560175178131,0.330474374802033,0.226000979588593,0,-0.000180460417839392,-3.49676071189139e-05,-2.76331191154604e-05,-6.55281751970111e-05,-4.90952822874077e-05,-2.40052324290636e-06,-0.358398722689522,0.448469692861946
"French Guiana","GUF",50409.0098974217,35810.6298055389,6289.03094935893,3833.65026116695,0.538129052176598,0.775004588,0.538129052176598,14598.3800918828,2455.38068819198,1321.31168246947,2062.99858141834,0.710401372262829,0.609577261113293,0.0141481396856146,-0.000402806614519561,-0.000120138885747934,-9.20987321819818e-05,-4.804516278542e-05,-0.000138167190203481,0,0.611754244103648,0.154203814340453
"Gabon","GAB",175947.083763115,92239.9992826893,4315.54072115224,2014.35911207792,0.648148148148148,0.924899194,0.648148148148148,83707.0844804257,2301.18160907432,1491.5065984741,1305.60312819865,0.524248525806065,0.46676864899101,0.00097673555787214,-9.27161586500694e-05,-6.24890644210824e-06,-2.08294278158388e-06,0,-5.52067811474093e-05,-2.81219242312615e-05,-0.29142292797034,0.564595544804016
"Gambia","GMB",60252.0638906525,11525.9246180758,1758.28274966268,371.025744183951,0.228571428571429,0.906400966,0.228571428571429,48726.1392725767,1387.25700547873,317.087315537996,84.8058843849033,0.191295100512962,0.211015972405537,0.00086152777519897,-4.05875453078489e-06,-2.02936491026694e-06,0,0,0,-2.02936491026694e-06,-0.299322848005176,0.681929905814578
